All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.11876744870180733215648
Subset: (4, 8, 10), P-Value: 0.00000000000000000000000, Loss: 0.74305107561269556626371
Subset: (4, 9, 10), P-Value: 0.00000000000000000000000, Loss: 0.71933823167329169478990
Subset: (5, 6, 7), P-Value: 0.00000000000000000000000, Loss: 0.59948546654192580440679
Subset: (5, 6, 8), P-Value: 0.00000000000000000000000, Loss: 0.62618182747030248780362
Subset: (5, 6, 9), P-Value: 0.00000000000000000000000, Loss: 0.65854358625878328670211
Subset: (5, 6, 10), P-Value: 0.00000000000000000000000, Loss: 0.61286348554010394718006
Subset: (5, 7, 8), P-Value: 0.00000000000000000000000, Loss: 0.57257639467720367054682
Subset: (5, 7, 9), P-Value: 0.00000000000000000000000, Loss: 0.59829388435520036715332
Subset: (5, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.52156818941834504066435
Subset: (5, 8, 9), P-Value: 0.00000000000000000000000, Loss: 0.62667121219952204302928
Subset: (5, 8, 10), P-Value: 0.00000000000000000000000, Loss: 0.59555115400913449796860
Subset: (5, 9, 10), P-Value: 0.00000000000000000000000, Loss: 0.61174182267122889644639
Subset: (6, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.06499486374744645189594
Subset: (6, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.80480039634897426736870
Subset: (6, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.94246020089550375242737
Subset: (6, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.48752269015139981789275
Subset: (6, 8, 10), P-Value: 0.00000000000000000000000, Loss: 1.04785179355706814519067
Subset: (6, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.09481053455362742354851
Subset: (7, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.05806631877524859319806
Subset: (7, 8, 10), P-Value: 0.00000000000000000000000, Loss: 0.98352679074713889040282
Subset: (7, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.00220948261659947853275
Subset: (8, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.09266375879643717894396
Subset: (0, 1, 2, 3), P-Value: 0.16323293623039983324396, Loss: 5.20830012852794599353956
Subset: (0, 1, 2, 4), P-Value: 0.38904135759979108222240, Loss: 4.45679320593227945579429
Subset: (0, 1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 0.53698030277520947262104
Subset: (0, 1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 3.97464070433705174423267
Subset: (0, 1, 2, 7), P-Value: 0.00000000000000000000002, Loss: 5.20325004371362265231937
Subset: (0, 1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 3.02227147136215856804142
Subset: (0, 1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 3.49687291569444180794335
Subset: (0, 1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 0.92692408441852602862809
Subset: (0, 1, 3, 4), P-Value: 0.93261794605043568662239, Loss: 4.05506789161768566032151
Subset: (0, 1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 0.52466716228692522605570
Subset: (0, 1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 3.74895777092499837834794
Subset: (0, 1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 4.76857099557789254618001
Subset: (0, 1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 2.88138213594419312357786
Subset: (0, 1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.26375061635870222787048
Subset: (0, 1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 0.89416638453047381229766
Subset: (0, 1, 4, 5), P-Value: 0.00000000000123187191289, Loss: 0.28252915485279572749278
Subset: (0, 1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.59321965910836604862766
Subset: (0, 1, 4, 7), P-Value: 0.06151388261501017362676, Loss: 4.45487281791226230609482
Subset: (0, 1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.76758818999434197394294
Subset: (0, 1, 4, 9), P-Value: 0.00000000000000000000001, Loss: 3.37005405375729338857127
Subset: (0, 1, 4, 10), P-Value: 0.00000000000000000000042, Loss: 0.70447583907288524596169
Subset: (0, 1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.54162381401423309590371
Subset: (0, 1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.50299373474645503456770
Subset: (0, 1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.52318551834759541296904
Subset: (0, 1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.54230666668307347944022
Subset: (0, 1, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.50092712438142361630611
Subset: (0, 1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 3.90450613989655792579470
Subset: (0, 1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.42118977376042954219315
Subset: (0, 1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 2.69065194149293018810454
Subset: (0, 1, 6, 10), P-Value: 0.00000000000000000000000, Loss: 0.89072936757011145214591
Subset: (0, 1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 2.91083809472030496934281
Subset: (0, 1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.47197362782031904160363
Subset: (0, 1, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.85023967120999188740171
Subset: (0, 1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.41072106367393201864502
Subset: (0, 1, 8, 10), P-Value: 0.00000000000000000000000, Loss: 0.90770021198718076060885
Subset: (0, 1, 9, 10), P-Value: 0.00000000000000000000000, Loss: 0.92868265251187265274524
Subset: (0, 2, 3, 4), P-Value: 0.00766815026858809305199, Loss: 4.90584860738410455383018
Subset: (0, 2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 0.55918792681600260063846
Subset: (0, 2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 4.31296728319290600950353
Subset: (0, 2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 5.65181947596820233314929
Subset: (0, 2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.16753350734911887087719
Subset: (0, 2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.63333555001034991249753
Subset: (0, 2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 0.95417241291613685838513
Subset: (0, 2, 4, 5), P-Value: 0.00000000027185424523982, Loss: 0.28834842982904251851295
Subset: (0, 2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 4.42568053351631540692779
Subset: (0, 2, 4, 7), P-Value: 0.00000000000004403342240, Loss: 5.71948820837406923800472
Subset: (0, 2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.19811470411349363374143
Subset: (0, 2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 3.95814438697096626640359
Subset: (0, 2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 0.72857031581698949995740
Subset: (0, 2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.58427900346717864810131
Subset: (0, 2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.53582277258039767708908
Subset: (0, 2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.56276993667351182804026
Subset: (0, 2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.58548567495588599296497
Subset: (0, 2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.54070145154672000220586
Subset: (0, 2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.70511976582275703862024
